;MINI Jenga - 2019.mvar;Use with infection GT Jenga 2019 (Made by: Metabolic8916)(1-16 players);[Infection] Jenga 2019.bin;Use with Jenga 2019 (Made by: Metabolic8916);1;;;;
;MINI Jenga - True 1.1.mvar;A tower of destructibles, just begging to be knocked over. Use with infection gametype Jenga : True. Created by Wipeout!;[Infection] Jenga 2.0 (MINI Jenga 2.0).bin;Zombie: Your objective is simple, knock over the tower! Humans: Stay on top!;1;;;;
;MINI Jenga 2.0.mvar;Jenga 2.0 by xDangles25x and friends. Original concept by Wipeout. Use with infection gametype Jenga 2.0;[Infection] Jenga 2.0 (MINI Jenga 2.0).bin;Zombie: Your objective is simple, knock over the tower! Humans: Stay on top!;1;;;;
;MINI Trash Man.mvar;Dodge the trash! Use with infection gametype Garbage Day. Up to 16p.;[Infection] Garbage Day (MINI Trash Compactor Extreme + MINI Trash Man).bin;Used with the map "Trash Compactor Extreme";1;;;;
;MINI Trash Compactor Extreme.mvar;Dodge the trash!        Use with infection gametype "GARBAGE DAY"        8-16p;[Infection] Garbage Day (MINI Trash Compactor Extreme + MINI Trash Man).bin;Used with the map "Trash Compactor Extreme";1;;;;
;OBST Facility 7.mvar;Can you defy the odds and escape this secure facility? Use CTF GT Escape! (1 player puzzle map, supports a couple more);[Infection] Death Star Escape (INF Death Star Escape).bin;Jedi must escape from the Death Star. Survivors: Jedi. Zombies: Stormtrooper. Alpha Zombie: Darth Vader.;0;;;;
;OBJ Husky Raid Classic.mvar;Classic game, simple and fun. 10-16 Players. Made By: A husky old guy - Use Game Variant Husky Raid CTF;[CTF] Husky Raid CTF (OBJ Husky Raid Classic).bin;;0;;;;
;OBJ Castle Wars Reborn.mvar;Clean remake of the original Castle Wars. Made by Rage Sanity, edited by Yuwuyuwukowo. Use CTF gametype Castle Wars.;[CTF] Castle Wars (OBJ Castle Wars).bin;Invade your opponent's stronghold, seize the enemy flag, and then return it to your base to score.;0;;;;
;MINI Hog Hallway.mvar;Dodge a couple warthogs, easy or hard? You decide. 1-16 Players. Use with Action Sack - Hog Run gametype.;[Action Sack] Hog Run (MINI Hog Hallway).bin;;1;;;;
;RACE Kingdom Come.mvar;Map 3 of 3in the Paradise Lost Map Pack by CoookkieMonster; in the modern village; in the modern village; in the modern village;1;1;1;1;
;hr_forgeWorld_theCage.mvar;$HReach_MPMap_R-25_Desc;;;1;;;;
;SLYR Uplink.mvar;Connection Interrupted... 2-8 Players;;;0;;;;
;SLYR Unconquered.mvar;There cannot be war, without something to be conquered. VERSION 3.4 (Once more, With feeling) 4-8 Players ;;;0;;;;
;MINI SPLATTER MONKEY.mvar;Polished version of the original Splatter Monkey. Use infection GT Splatter Monkey;;;1;;;;
;SLYR Uncaged.mvar;No, the walls are in YOUR heart. 2-8 players.;;;0;;;;
;SLYR Uncaged 2v2.mvar;2v2 Map Variant with reduced power weapon ammo. V2;;;0;;;;
;prisoner_cl_031.mvar;Get on Top.  2-8 players;;;1;;;;
;RACE 2012 #1.mvar;;;;1;;;;
;RACE 2012 #2.mvar;more gnarly jumps, random ramps and bodacious bouncy thingys. (1-8 players);;;1;;;;
;RACE 2012 #3.mvar;;;;1;;;;
;RACE 2012 #4.mvar;;;;1;;;;
;RACE 2012 #5.mvar;;;;1;;;;
;RACE 2012 #6.mvar;;;;1;;;;
;RACE 2012 #8.mvar;v Ionized and xJAB199x's final supercross map for Reach;;;1;;;;
;RACE 2012 #extra.mvar;Last map in series. ;;;1;;;;
;RACE 2012 - Vortex.mvar;Start your engines, race!;;;1;;;;
;RACE 2012 AMA SX - Oakland.mvar;2012 Rd4.;;;1;;;;
;RACE 2012 AMA SX - Phoenix.mvar;2012 Rd2;;;1;;;;
;RACE A Bit Screwy.mvar;A long spread out coaster made by foriegn accent. Supports 14 players. No gate.;;;1;;;;
;RACE Abstract Distortion.mvar;Smooth skytrack containing possibly Halo: Reach`s largest elevator.  Created by v Ionized.;;;1;;;;
;RACE Accelerator.mvar;High speed turns have a mind of there own By Blade Monkey751/GOTCHA XD halotracks.org. No gate, up to 16p;;;1;;;;
;RACE Acid.mvar;Trippy;;;1;;;;
;RACE Aftermath.mvar;Racetrack by RLD HotTamale and xNightmare98;;;1;;;;
;RACE Alpinestar SX.mvar;MX Supercross track created for HTSX.  By v Ionized.;;;1;;;;
;RACE Avenue.mvar;Urban metropolis race!;;;1;;;;
;RACE Barren Wasteland.mvar;Racing through this Barren Wasteland is like soaring through the sky! An amazingly smooth track by CoookkieMonster;;;1;;;;
;RACE Battle for Hoth.mvar;. Note, does NOT have starting gate. (Players 1-?);;;1;;;;
;RACE Beachfront Resort.mvar;Race through a 5 star hotel, golf course, tennis and basketball courts, and a beautiful waterfall!! No Gate. (Players 1-6);;;1;;;;
;RACE Blackwater MX.mvar;Navigate your way through the black water of this insane and technical Nationals track.  By v Ionized.;;;1;;;;
;RACE Boulevard.mvar;Rules of the road apply to roads, not boulevards! That is why this lawless city plays host to many races! by CoookkieMonster;;;1;;;;
;RACE Breakpoint.mvar;Race. Mongeese recommend. No Gate. (2-8 players);;;1;;;;
;RACE Candyland.mvar;Race. No Gate. (1-12+ players recommended);;;1;;;;
;RACE Canyon Coaster.mvar;Insanely long Roller Coaster made by foriegn accent. Supports 16 players. No gate.;;;1;;;;
;RACE Cavernous Deep.mvar;Awesome racetrack that goes deep underground by RLD HotTamale;;;1;;;;
;RACE Chained.mvar;Dangerous Creatres Chained Down For Your Safty. A very funzy double wide;;;1;;;;
;RACE City of The Dragon.mvar;Race in the city streets and on the monorail. You might even see the city's notorious Dragon! No gate (1-16p);;;1;;;;
;RACE Cliffside Chicken.mvar;Have you ever played chicken....on a cliff?!?! No gate. (2-16 players);;;1;;;;
;RACE Coastline.mvar;Relaxing race that supports large lobbies.;;;1;;;;
;RACE Collateral City.mvar;Race through a city destroyed by Funkzilla and the High Monkey;;;1;;;;
;RACE Comeback.mvar;An ancient village has decayed over time but still remains intact. Race through it to see the essence of beauty it preserves!  ;;;1;;;;
;RACE Cookie SX.mvar;My planned final map in reach, a very creative and original city-themed SX track! Help from the amazing v Ionized, enjoy! ;;;1;;;;
;RACE Cookie's Monsters.mvar;Elmo/Cookie Monster racetrack;;;1;;;;
;RACE CROSS BONES.mvar;Race. No Gate (1-16 players);;;1;;;;
;RACE Danish.mvar;Take a ride through thisdeliciously sweet racetrack, but don't eat too much or youll break your mongoose! By CoookkieMonster;;;1;;;;
;RACE Death Island MX.mvar;MX meets HELL made by RLD HotTamale and Boyd Da Milkman;;;1;;;;
;RACE Devine.mvar;Lying in the ancient ruins is a quite modern structure. Its a rollercoaster with a quadrupole spiral and some MASSIVE jumps! CM;;;1;;;;
;RACE DO A BARREL ROLL RELOADED.mvar;Barrel Roll, Barrel Roll, DO A BARREL ROLL!!! Cowboy Kitty Approved :D [WARTHOG ONLY] (1-16 players);;;1;;;;
;RACE Downtown Chaos.mvar;Chaotic city race map. Made by aUglyMormanGirl. No gate. 16 spawns.;;;1;;;;
;RACE Dream Scape HC.mvar;Remake of the Halo 3 Hardcore track. Experience drunk driving. Made by Masta Hippie;;;1;;;;
;RACE Dusk HC Hard.mvar;HC Track by smm2010. HaloTracks.org. No Gate (1-4 players max). Hard track with many obstacles.;;;1;;;;
;RACE Electric.mvar;This enormous coaster was found abanded and is now powered by satelites.  By v Ionized.;;;1;;;;
;RACE Elemental HC.mvar;Masta the four elements in this pretty hardcore track made by Masta Hippie and Taxxman24;;;1;;;;
;RACE Emulsion.mvar;Race Track. No Gate. (1-8 players);;;1;;;;
;RACE Epcot SX.mvar;100%;;;1;;;;
;RACE Epicity.mvar;No gate. 15 spawns. Rollercoaster.;;;1;;;;
;RACE Eragon.mvar;Race made out of rocks and tin cups. 1-16 players. Forged by DIEabolical D and foriegn accent. No gate.;;;1;;;;
;RACE Fluorescent.mvar;No gate. 16 spawns. MX style race.;;;1;;;;
;RACE Fore-runned.mvar;Surrounded by Forerunner technology, this track can only be powered by the ring itself. by l PVT Partz and Noble Forger;;;1;;;;
;RACE Funkzilla.mvar;BEWARE OF MONSTERS!! Racetrack made by Masta Blastr and Funky Payps.;;;1;;;;
;RACE Fus Ro Dah!.mvar;The province of Skyrim sends Alduin to Reach, find the standing stones throughout your journey! - HaZz 2K9 (1-16 players);;;1;;;;
;RACE Goldhaven Cliffs.mvar;This city is considered noteworthy for its beautiful central fountain and  metal framework....By Goldman 010...(1-16 players);;;1;;;;
;RACE Harry Potter The Grounds.mvar;Race. No Gate. (1-8 players) (16 possible but not recommended);;;1;;;;
;RACE Hatred Sphere.mvar;A ball full of hate. Race through RLD HotTamale's heart in this fun, fast and smooth racetrack!;;;1;;;;
;RACE Hell Land.mvar;A family thought they were going to The Jolly Land carnival, but they're in for a surprise! Made by RLD HotTamale and Ducain238;;;1;;;;
;RACE Hiatus SX.mvar;Finally a new supercross track!  By v Ionized!;;;1;;;;
;RACE HT HC (Hard).mvar;HaloTracks hardcore track. Made by Masta Hippie and Yugnoswam. (1-6 players);;;1;;;;
;RACE Hyper Nova V2.mvar;By Smm2010 - Can be used with Battle Tracks, Battle Snipes, or Race Game Types.;;;1;;;;
;RACE Insane.mvar;Race - Insane. Needs race implimineted and teleporters updated. Works without race using honor code. (1-16 players);;;1;;;;
;RACE Intensity Race.mvar; Race! Mongeese. No Gate (1-16 players);;;1;;;;
;RACE Kaleidoscopic.mvar;An awsome rollercoaster based off of TRON;;;1;;;;
;MINI DKH - Duck Hunt Extreme.mvar;A 6 stage duck hunt map for 2-16 players, made by mxrider772 - use with Duck Hunt gametypes (Infection);;;0;;;;
;RACE LOTR Minas Tirith Track.mvar;LOTR Track. Mongoose. No Gate. (1-16 players);;;1;;;;
;RACE LVSX Stadium.mvar;MX Supercross track created for HT Supercross.  By v Ionized.;;;1;;;;
;RACE Magic Mushroom.mvar;Eat too many mushrooms and thing strt to look funky.;;;1;;;;
;RACE Mario Kart - Daisy Cruiser.mvar;Race across Daisy's Cruiser in Mario Kart!!! No Gate. (1-16 players);;;1;;;;
;RACE Minas Morgul.mvar;After the disperse of the armies of Mordor, Minas Morgul was left empty. Its been converted into a racetrack by CoookkieMonser!;;;1;;;;
;RACE Mirror Madness.mvar;Race on a track that is a mirror of its self all around you!!!! No Gate. (1-16 players);;;1;;;;
;RACE Modern Art.mvar;An extremely long, extremely smooth roller coaster made by foriegn accent. Supports up to 14 players. Gated.;;;1;;;;
;RACE Mon Dieu V2.mvar;The more efficient version of my may map Mon Dieu, made as a Halloween treat for my fans! by CoookkieMonster;;;1;;;;
;RACE Mon Dieu.mvar;Sunlight is absent at the old graveyard, and yet the race must commence through these spooky grounds! by CoookkieMonster;;;1;;;;
;RACE Mongoose Pro 2 (Hard).mvar;Get to the end without falling. Good luck. Challenge Racing Map. (1-6 players);;;1;;;;
;RACE Moon.mvar;By v Ionized;;;1;;;;
;RACE MX 5.2.mvar;MX 5.2. GATE! (1-8 players) (Maybe 10?);;;1;;;;
;RACE Nativity SX.mvar;Small SX Track by CeG xCryptiic. Scenery by aUglyMormanGirl. Gated. 16 spawns.;;;1;;;;
;RACE Naval Raceway.mvar;Race aboard the Aircraft Carrier USS Ducain23 and past a submarine... Cowboy Kitty APPROVED!! No Gate. (1-5 players);;;1;;;;
;RACE Nightmare.mvar;There's no turning back. By v Ionized.;;;1;;;;
;RACE Noble Park.mvar;A memorial of the fall of Reach. 1-16 Racers;;;1;;;;
;RACE Ocean Race.mvar;GATE! NEEDS RACE GAMETYPE IMPLIMENTED. Works with honor code rules. (1-8 players);;;1;;;;
;RACE Octane.mvar;Don`t let the One-Eyed Willy and his Serpent get you! Use game var Race.;;;1;;;;
;RACE Paradisal Path.mvar;An ancient road once used to travel to arcadia has now been overtaken for an enormous racing structure, by CoookkieMonster;;;1;;;;
;RACE Penultimate Battle.mvar;The ultimate race around the penultimate battle between pirates, snails, flying pigs, UFOs, baby Funkzilla, turtles and toliets;;;1;;;;
;RACE Perfect Insanity.mvar;Coaster racetrack;;;1;;;;
;RACE Perish.mvar;A DOUBLE WIDE CRAZY ROCK DRIFT TURN;;;1;;;;
;RACE Plutonic.mvar;Gated wide racetrack supporting larger lobbies.;;;1;;;;
;RACE Poseidon.mvar;Gated doublewide racetrack.;;;1;;;;
;RACE Race to Glory.mvar;Double-Wide Racetrack made for intense mongoose Races.  Use "RACE" Gametype. No Gate. (1-16 players);;;1;;;;
;RACE Rainbow Road 1.0.mvar;Remake of the Mario Kart track with actual rainbows. Use Rainbow Racing gametype. No Gate. (1-16 players);;;1;;;;
;RACE Rainbow Road 2.0.mvar;Updated version of rainbowroad. fixed goal and added a few other things. Author: EnviousMonster. gametype: rainbowracing[Insane;;;1;;;;
;RACE Revolution.mvar;Escape the cave and race through the ruins of a forgotten city;;;1;;;;
;RACE RLD's Fun Box.mvar;It's a track in a box! Created by RLD HotTamale;;;1;;;;
;RACE Road to Zion.mvar;An old historical road once walked on to obtain peace has been torn apart to build a new racing structure, by CoookkieMonster ;;;1;;;;
;RACE Road Work Ahead.mvar;Traffic Fines Are Doubled!! Short Map. GATE! (1-12 players);;;1;;;;
;RACE Rocket Science.mvar;Race set around a rocket launching facility. Created by aUglyMormanGirl and Cooooooooookkie. No gate. 16 spawns.;;;1;;;;
;RACE Roller Coaster Xtreme.mvar;Racing Map. No Gate. (1-12 players);;;1;;;;
;RACE Rooftops SX.mvar;Tripmine413;;;1;;;;
;RACE Round the Mountain V2.mvar;This is a longer, smoother, and even more amazing version of my most popular map. This may be my last Reach map ever so enjoy!;;;1;;;;
;RACE Round the Mountain.mvar;It's sunset at the military base on the island. With no enemies in sight it's time to have fun and race!;;;1;;;;
;RACE Santa's Lair V2.mvar;Santa is back in town with his famous reindeer and snowman army. Better late than never! Use Game Mode Race.;;;1;;;;
;RACE Scorched.mvar;Racetrack with two kill ball traps! No gate, up to 16p, Mongoose.;;;1;;;;
;RACE Slytherfunk HC.mvar;Snek;;;1;;;;
;RACE Springcreek.mvar;Motocross track covering the sands of the coastline. Contains an impersonation of Freestone's "Texas Twelve Pack".;;;1;;;;
;RACE Star Wars Battle of Endor.mvar;Jump, speed, and get muddy as you race through The Battle of Endor!!! Medium size lobbies.;;;1;;;;
;RACE Star Wars Sandcrawler.mvar;Race on top, around, and in the Jawas Sandcrawler!!! Short map. No Gate. (1-8 players);;;1;;;;
;RACE Stupefy.mvar;Racing was said to be fun in Halo 3, but in Reach it's INSANE! Enjoy your ride on Stupefy, in all of its glory!;;;1;;;;
;RACE Summer Slopes.mvar;After the winter season the sun came out and melted the snow on the ski slopes, but two people remain! Race by CoookkieMonster;;;1;;;;
;RACE Super 8.mvar;By FlotownHockey - Use gametype Race.;;;1;;;;
;RACE Tamaliinized.mvar;Awesome coaster/MX based racetrack by RLD HotTamale and v Ionized;;;1;;;;
;RACE The Maw Race.mvar;Remake of the Halo 1 warthog run. Use mongeese or warthogs. The Maw Level. (1-16 players);;;1;;;;
;RACE The Oval City Bananza.mvar;Gametype: Race "Banaza"  A map based off of a Mario Kart: Double Dash map called "Block Fort." (4-16) (2 Per Team);;;1;;;;
;RACE Thunder Barrel (Checkpoint 13 broken).mvar;Don't get dizzy! halotracks.org. GATE! (1-16 players);;;1;;;;
;RACE Thunder Barrel.mvar;Don't get dizzy! halotracks.org. Gated. Rollercoaster. Mongoose only. Up to 16p.;;;1;;;;
;RACE Thunder Horse.mvar;Amazingly long rollercoaster with turns, hills, and spirals! by RLD HotTamale;;;1;;;;
;RACE Trinity Force.mvar;An amazing dubble-wide for race and battle-tracks, It has 2 drift turns. Made by trabbedoor (1-12 Drivers);;;1;;;;
;RACE Unevasive Jungle.mvar;Strange creatures are coming!;;;1;;;;
;RACE Unhinged.mvar;Racetrack;;;1;;;;
;RACE Warthog Racetrack 3.0.mvar;UPDATED Bodaciously Spectacular. Features section & previous loop, overbanked turns, ramps, cross overs, barrel roll (1-12p);;;1;;;;
;RACE Water Cyclone.mvar;Water-oriented racetrack, no gate, for Mongoose, up to 16p.;;;1;;;;
;RACE Waterfall Track.mvar;1 - 16 players. No gate.;;;1;;;;
;RACE Wax Raceland 1.3.mvar;Huge Race. No Gate. Good for large parties actaully racing. (1-16 players);;;1;;;;
;RACE Wonders of the World Pt 1.mvar;This is a race through many of earth's wonders!!!! GATE! (1-8 players);;;1;;;;
;RACE Wonders of the World Pt 2.mvar;This race includes the Eiffel Tower and the Easter Island Statues. NO Gate. (1-16 players);;;1;;;;
;RACE Wonders of the World Pt 3.mvar;Race past the Sphinx, on the Great Wall of China, and through the Pyramid of Giza!!! No Gate (1-16 players);;;1;;;;
;RACE X-Crosser.mvar;Short race map with quadruple barrel roll.;;;1;;;;
;RACE Xerosphere.mvar;MX Supercross track that takes you beneath the track itself.  Created by v Ionized.;;;1;;;;
;RACE Xxplosive.mvar;An industrial park located on a secluded island makes for some dangerously explosive races By CoookkieMonster of ProForgeRacing;;;1;;;;
;RACE Yoshi's Circuit.mvar;A replica of Yoshi's Circuit from Mario Kart Double Dash!!! Tight turns to test your skills.(1-8 players)(May have more spawns);;;1;;;;
;RACE Zelda Raceway Pt1.mvar;Zelda inspired racetrack by RLD HotTamale and Ducain 238;;;1;;;;
;RACE Zestril.mvar;Made by v Ionized, stoyben, & DIEabolical D;;;1;;;;
;RACE! BT - Aurora Oceanis 2.mvar;Race map best used with Battle Snipes gametype. Teams of 2 (4-16 players).;;;1;;;;
;RACE! BT - Casper.mvar;Doublewide battletracks racetrack with several glass sections and a cool ending.;;;1;;;;
;RACE! BT - Era Vulgaris.mvar;Witness the masterpiece of this Battle Track. By smm2010 & v Ionized. HaloTracks.org. Played with BT/Battle Snipes Gametypes.;;;1;;;;
;RACE! BT - Excelsior!.mvar;Map by multiple Authors, including Smm2010. Best played with Battle Tracks / Battle Snipes Game Modes.;;;1;;;;
;RACE! BT - Fame.mvar;Racetrack for Battletracks & Race (1-16 Players) by Ao1 Swizz. Recommended 75 points & snipers/shotgun loadout.;;;1;;;;
;RACE! BT - Frozen Over.mvar;Recommended for normal race, but can be played with Battle Tracks. No Gate. (1-16 players);;;1;;;;
;RACE! BT - Fuel.mvar;Travel through space as you twist your way through stars and asteroids on this smooth BattleTrack. By v Ionized. (4-16 players);;;1;;;;
;RACE! BT - Galaxy.mvar;GREETINGS EARTHLINGS. RACE,RALLY and ROCKET RACE. Can be used with random checkpoints. (4-16 players);;;1;;;;
;RACE! BT - Hex V2.mvar;RACE HOWEVER YOU CHOOSE. Mongeese. Compatable with Battle Tracks, but advised to play normal race. No gate. (1-16 players);;;1;;;;
;RACE! BT - High Tide.mvar;an Extremely Smooth, Semi-Challenging, Non-Tapered Roller Coaster. (My First) Battle Tracks Compatable.;;;1;;;;
;RACE! BT - Jaw Dropper.mvar;Jaw dropping racetrack by RLD HotTamale - Race & BT;;;1;;;;
;RACE! BT - Legendary.mvar;Battletracks;;;1;;;;
;RACE! BT - Minus.mvar;A unique savage track by yugnoswam & ViTaI SniPe.;;;1;;;;
;RACE! BT - Momentum Decor.mvar;An amazingly smooth Battle Tracks map by smm2010 & ReSeT g4m3rt4g. HaloTracks.org. Use Battle Tracks / Battle Snipes.;;;1;;;;
;RACE! BT - Mongoose Race 21.mvar;An awesome double-wide mongoose racetrack (compatible with battletracks). 1-16 players;;;1;;;;
;RACE! BT - Mulholand.mvar;Race and BT;;;1;;;;
;RACE! BT - Murmaider.mvar;The big brother of Thunder Horse. This a huge epic race track made by RLD HotTamale - Race & BT;;;1;;;;
;RACE! BT - Mystic.mvar.mvar;A mystical track surrounded by abandoned equipment. Made for BT by TeknoPirate and edited by xDangles25x. halotracks.org;;;1;;;;
;RACE! BT - Pipeline.mvar;An awesome track for race and battletracks;;;1;;;;
;RACE! BT - Popcorn.mvar;Race or Battle Tracks (1-16 players);;;1;;;;
;RACE! BT - Quadcross.mvar;I like to be 1st so i made a battle tracks MX and its quadwide i suggest 10 laps. Made by RLD HotTamale - Race & BT;;;1;;;;
;RACE! BT - Sapphire Falls.mvar;Use with Battle Tracks or Race. By smm2010. Recommended 10 points to win. (1-16 players);;;1;;;;
;RACE! BT - Serpenthelm.mvar;By Smm2010 - Best played with Battle Tracks / Battle Snipes Game Mode.;;;1;;;;
;RACE! BT - Sub-Zero.mvar;the temperature is cold but the bt intensity is high - by Xx ZOR xX and l PVT Partz l. Recommended Sniper/shotgun (1-16p) ;;;1;;;;
;RACE! BT - The Bay.mvar;Short Battletrack in the bay. No Gate. Recommended 50 points to win (4-16 players);;;1;;;;
;RACE! BT - The Lobby.mvar;A Hotel themed map for Race/Rocket Race.  1-16 Racers. www.halotracks.org;;;1;;;;
;RACE! BT - Tridescent.mvar;Battletracks racetrack with huge turns and waves - by l PVT Partz l;;;1;;;;
;RACE! BT - Viatrophy.mvar;Smm2010;;;1;;;;
;SLYR MLG Splash.mvar;The official hardcore variant, based off of MLG v7.;;;1;;;;
;SLYR Rat Race (Halo CE).mvar;Rat Race remake from Halo:CE. Improved weapon set and spawns. Supports all gametypes. Designed by Vincent Torre - (2-8p);;;1;;;;
;timberland_cl_031.mvar;An enemy behind every tree!  4-16 players;;;1;;;;
;BTB Abridged.mvar;Community map by Schmittler 5000 and theforceswithin. A sandbox of insanity with vehicle and infantry combat. [SMBGP] 12-16p;;;0;;;;
;BTB Affinity.mvar;Inspired by the architecture and aesthetic of Halo:CE. ReachingPerfection.com (6-12p recommended);;;0;;;;
;BTB Asphalt (Heavy).mvar;Battle in the streets. Heavy BTB, 16 Players. Created by Alzarahn.;;;0;;;;
;BTB Axis Gun.mvar;From the builders of Axis City, this great gun station mysteriously lacks an off switch. Compatible w/ most game types. 8-12p;;;0;;;;
;BTB Bay Side Hazard.mvar;A loading bay that is used for naval combat training. BTB, 8-16 players;;;0;;;;
;BTB Boarding Action.mvar;Ship-to-Ship Combat. A Halo Classic remade with all the original elements that made this map fun. BTB Slayer (8-16 players);;;0;;;;
;BTB Breakout 2v2.mvar;Breakpoint Heavy. As close to functionaly symetrical as you can get.;;;0;;;;
;BTB Brick.mvar;12-16 players recommended.;;;0;;;;
;BTB Cascade.mvar;Indoor waterfall map! 10-16 players recommended. Compatible with most gametypes.;;;0;;;;
;BTB Cragmire.mvar;A titanic battle returns. 16 players. v4;;;0;;;;
;BTB Danger Canyon Anniversary.mvar;Don't Look Down... Unless You Fall. (10-16p);;;0;;;;
;BTB Death Island Anniversary.mvar;Sand, Surf, and Spent Shells. (12-16p recommended);;;0;;;;
;BTB Delta Facility (Heavy).mvar;Training outpost intended to test the skills of Spartan recruits. Heavy variant. 12-16p;;;0;;;;
;BTB Divide.mvar;Bridge divides the path. Enjoy this small symmetrical city. 8-16 players recommended. Compatible with most gametypes.;;;0;;;;
;BTB Ellul.mvar;v4.33 8-12p;;;0;;;;
;BTB Embarcadero.mvar;In this city, there is always another hill to climb. (10-16 Players);;;0;;;;
;BTB Eminence (Heavy).mvar;Heavy Highlands by Der Flatulator6. V1.4;;;0;;;;
;BTB Excavation.mvar;This ancient facility was once a well kept secret. FFA, KoTH, OddB, BTB [No Vehicles] (8-16 players);;;0;;;;
;BTB Foundation.mvar;Vehicle-oriented BTB map supporting slayer and objective gamemodes. Falcon spawns. 8v8 recommended.;;;0;;;;
;BTB Gephyrophobia Anniversary.mvar;Remake of a classic from Halo Combat Evolved. A great map for capture the flag and other big team games. (10-16p recommended);;;0;;;;
;BTB Gully.mvar;A 2-base asymmetrical map intended for 8-16 players.  created by ThrowinSomeBows;;;0;;;;
;BTB Headlong Anniversary.mvar;While Section 14 monitors all harbor traffic during the day, at night it's one of the most notorious hangouts.  6-16 players;;;0;;;;
;BTB Headstrong (Heavy).mvar;A heavier Headlong.;;;0;;;;
;BTB Hemorrhage Heavy.mvar;Just like old times. Compatable with many game types. (12-16 players) ;;;0;;;;
;BTB Hemorrhage RHR.mvar;Many may call this curious gorge their grave, but rocket hog racers left only these outposts behind in memoriam. 8-16p.;;;0;;;;
;BTB Hivemind.mvar;Terror at 200 feet. 8-16 players;;;0;;;;
;BTB I-40 North.mvar;Highway themed BTB map supporting most objective and slayer gamemodes. 10-16 players recommended.;;;0;;;;
;BTB Ice Fields Anniversary.mvar;Slipping and Sliding. (10-16p);;;0;;;;
;BTB Illium.mvar;Though we may never fully understand these devices, it is not our nature to leave ancient stones unturned.8-16 players;;;0;;;;
;BTB Infinity Anniversary.mvar;Halo PC recreation 4-16 players;;;0;;;;
